#True quantities 
# 
#recruitment 
0 
#Catch 
0 302070.9 536500.8 732698.4 883333.2 987931 1051267 1081186 1086376 1074798 1052759 1024952 994496.2 921653.2 821014.9 753078.2 704474.4 666779.6 635203.8 607013.6 580919.5 556683.8 534213 513215.7 493302 485104.6 499004.8 509739.5 518043.1 524676.7 530298.4 535407.4 540219.3 544734.3 548825.2 552436.1 555571 558238.7 560542.7 562570.6 564378.5 565985.2 567409.2 568623.2 569635.6 570585 571455.6 572202.3 572813.3 573346.9 NA 793797.5 785328.2 726766.3 694058.5 NA NA NA NA NA 
#survey selectivity 
90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 
#fishery selectivity 
190 190 190 190 190 190 190 190 190 190 190 190 190 190 190 190 190 190 190 190 190 190 190 190 190 190 190 190 190 190 190 190 190 190 190 190 190 190 190 190 190 190 190 190 190 190 190 190 190 190 190 190 190 190 190 190 190 190 190 190 225 225 225 225 225 225 225 225 225 225 225 225 225 225 225 225 225 225 225 225 225 225 225 225 225 225 225 225 225 225 225 225 225 225 225 225 225 225 225 225 225 225 225 225 225 225 225 225 225 225 225 225 225 225 225 225 225 225 225 225 
#spawning biomass 
9657582 9362969 8867503 8232743 7521846 6790786 6083022 5427231 4838320 4320401 3870807 3483145 3149034 2900665 2757284 2679446 2641153 2626846 2627851 2640274 2664225 2701209 2752276 2818055 2898705 2982687 3047799 3098183 3138366 3172283 3202868 3231562 3258456 3282958 3304623 3323449 3339551 3353413 3365594 3376422 3386057 3394559 3401876 3408064 3413680 3418868 3423345 3427075 3430257 3433049 3433049 3242361 3007563 2854132 2763756 NA NA NA NA NA 
